nrmatricol Nota
310440201RSL221178 9,28
310440201RSL221106 4,14
310440201RSL221153 3,28
310440201RSL221140 3,57
310440201RSL221108 8,42
310440201RSL221146 3,85
310440201RSL211140 2,42
310440201RSL211155 4,14
310440201RSL211139 4,71
310440201RSL221115 8,14
310440201RSL221184 3,85
310440201RSL221195 5,28
310440201RSL221124 5,85
310440401RSL221212 3,57
310440201RSL221175 6,14
310440201RSL221116 7,28
310440201RSL211191 3,28
310440201RSL221149 6,71
310440201RSL221112 6,42
310440201RSL221164 4,14
310440201RSL221135 3,57
310440201RSL221154 6,42
310440201RSL221156 4,14
310440201RSL221173 8,42
310440201RSL221191 3,57
310440201RSL221134 6,71
310440201RSL221129 6,71
310440201RSL221169 7,57
310440201RSL221166 3,85
310440201RSL221183 4,71
310440201RSL221107 3,57
310440201RSL221111 5
310440201RSL221161 4,71
310440201RSL221109 7
310440201RSL221141 7,57
31040701SL070611 5
310440201RSL221187 4,42
310440201RSL221176 6,71
310440201RSL221139 8,71
310440801RSL221127 6,14
310440201RSL221137 8,71
310440201RSL221126 3,85
310440201RSL221179 6,71
310440201RSL221163 10
310440201RSL221192 5,57
310440201RSL221159 8,42
310440201RSL221193 10
310440201RSL221182 6,14
310440201RSL221196 10
310440201RSL221190 7,85
310440201RSL211178 3,57
310440201RSL221150 7
310440601RSL221117 7,28
310440601RSL221177 5,85
310440601RSL221105 7,85
310440601RSL221035 6,42
310440601RSL221101 6,42
310440601RSL221100 3,28
310440601RSL221006 5,85
310440601RSL221014 5,85
310440601RSL221042 4,71
310440601RSL221135 9,85
310440601RSL221003 8,14
310440601RSL211172 5,57
310440601RSL211160 2,42
310440601RSL221091 6,71
310440601RSL221063 5,28
310440601RSL221013 2,71
310440601RSL221170 10
310440601RSL221174 5,85
310440601RSL221173 7
310440601RSL221020 8,42
310440601RSL221150 9
310440601RSL221163 8,14
310440601RSL221010 5
310440601RSL221017 2,71
310440601RSL221115 5,28
310440601RSL221037 6,42
310440601RSL221068 6,42
310440601RSL221134 5
310440601RSL221128 5,57
310440601RSL221048 7
310440601RSL221165 7,85
310440601RSL221018 5,57
310440501RSL221152 8,42
310440601RSL221164 7,28
310440601RSL221005 9,57
310440601RSL221090 6,71
310440601RSL221058 6,71
310440601RSL221089 9
310440601RSL221156 8,14
310440601RSL221054 7
310440601RSL221099 3,85
310440601RSL221038 7,28
310440601RSL221019 3,85
310440601RSL221114 5
310440601RSL221129 5,85
310440601RSL221167 6,14
310440601RSL221119 7,85
310440601RSL191152 3
310440601RSL221148 3,57
310440601RSL221080 3
310440601RSL221081 3
310440601RSL221059 3,85
310440601RSL221082 3,85
310440301ESL211038 4,71
310440601RSL221162 2,71
310440601RSL221143 3
310440601RSL221030 2,14
310440601RSL211011 3,28
310440601RSL221051 4,14
310440601RSL221140 2,14
310440601RSL221043 4,14
310440601RSL221021 6,14
310440601RSL221144 3,85
310440601RSL221067 5
310440601RSL221151 4,14
310440601RSL221079 6,14
310440601RSL221142 4,71
310440601RSL221094 3,85
310440601RSL221062 4,42
310440601RSL221050 5
310440601RSL221116 3,85
310440601RSL221125 6,42
310440601RSL221139 5,28
310440601RSL221004 2,71
310440601RSL221072 5
310440601RSL221127 5,57
310440601RSL221086 5,28
310440601RSL221075 6,42
310440601RSL221009 5
310440601RSL221061 5,85
310440601RSL221076 4,14
310440601RSL221124 3,57
310440601RSL221070 5,57
310440601RSL221084 7,57
310440601RSL221026 7,57
310440601RSL221121 6,42
310440601RSL221034 2,71
310440601RSL221040 3,28
310440601RSL221138 6,14
310440601RSL221145 3
310440601RSL221022 6,42
310440601RSL221045 5
310440601RSL221095 6,42
310440601RSL221122 3,85
310440601RSL221130 5,28
310440601RSL221052 5
310440601RSL221158 3,28
310440601RSL221152 4,14
310440601RSL221049 7,28
310440601RSL221154 6,14
310440701RSL221150 5
310440701RSL221141 4,14
310440701RSL221149 3,57
